,SHEET,CHAIN,CO_OWNED,STATE,SOUTHJ,CENTRALJ,NORTHJ,PA1,PA2,SHORE,NCALLS,EMPFT,EMPPT,NMGRS,WAGE_ST,INCTIME,FIRSTINC,BONUS,PCTAFF,MEALS,OPEN,HRSOPEN,PSODA,PFRY,PENTREE,NREGS,NREGS11,TYPE2,STATUS2,DATE2,NCALLS2,EMPFT2,EMPPT2,NMGRS2,WAGE_ST2,INCTIME2,FIRSTIN2,SPECIAL2,MEALS2,OPEN2R,HRSOPEN2,PSODA2,PFRY2,PENTREE2,NREGS2,NREGS112,EMPTOT,EMPTOT2,DEMP,PCHEMPC,DWAGE,PCHWAGE,GAP,NJ,BK,KFC,ROYS,WENDYS,PMEAL,PMEAL2,DPMEAL,CLOSED,FRACFT,FRACFT2,ATMIN,NEWMIN,ICODE
0,46,1,0,0,0,0,0,1,0,0,0,30.0,15.0,3.0,,19.0,,1,,2,6.5,16.5,1.03,1.03,0.52,3.0,3.0,1,1,111792,1.0,3.5,35.0,3.0,4.3,26.0,0.08,1.0,2.0,6.5,16.5,1.03,,0.94,4.0,4.0,40.5,24.0,-16.5,-0.5116279069767442,,,0.0,0,1,0,0,0,2.58,,,0,0.7407407407407407,0.14583333333333334,0,0,PA STORE
1,49,2,0,0,0,0,0,1,0,0,0,6.5,6.5,4.0,,26.0,,0,,2,10.0,13.0,1.01,0.9,2.35,4.0,3.0,1,1,111292,,0.0,15.0,4.0,4.45,13.0,0.05,0.0,2.0,10.0,13.0,1.01,0.89,2.35,4.0,4.0,13.75,11.5,-2.25,-0.1782178217821782,,,0.0,0,0,1,0,0,4.26,4.25,-0.009999999999999787,0,0.4727272727272727,0.0,0,0,PA STORE
2,506,2,1,0,0,0,0,1,0,0,0,3.0,7.0,2.0,,13.0,0.37,0,30.0,2,11.0,10.0,0.95,0.74,2.33,3.0,3.0,1,1,111292,,3.0,7.0,4.0,5.0,19.0,0.25,,1.0,11.0,11.0,0.95,0.74,2.33,4.0,3.0,8.5,10.5,2.0,0.21052631578947367,,,0.0,0,0,1,0,0,4.02,4.02,0.0,0,0.35294117647058826,0.2857142857142857,0,0,PA STORE
3,56,4,1,0,0,0,0,1,0,0,0,20.0,20.0,4.0,5.0,26.0,0.1,1,0.0,2,10.0,12.0,0.87,0.82,1.79,2.0,2.0,1,1,111492,,0.0,36.0,2.0,5.25,26.0,0.15,0.0,2.0,10.0,12.0,0.92,0.79,0.87,2.0,2.0,34.0,20.0,-14.0,-0.5185185185185185,0.25,0.05,0.0,0,0,0,0,1,3.48,2.58,-0.8999999999999999,0,0.5882352941176471,0.0,0,0,PA STORE
4,61,4,1,0,0,0,0,1,0,0,0,6.0,26.0,5.0,5.5,52.0,0.15,1,0.0,3,10.0,12.0,0.87,0.77,1.65,2.0,2.0,1,1,111492,,28.0,3.0,6.0,4.75,13.0,0.15,0.0,2.0,10.0,12.0,1.01,0.84,0.95,2.0,2.0,24.0,35.5,11.5,0.3865546218487395,-0.75,-0.13636363636363635,0.0,0,0,0,0,1,3.29,2.8,-0.4900000000000002,0,0.25,0.7887323943661971,0,0,PA STORE
5,62,4,1,0,0,0,0,1,0,0,2,0.0,31.0,5.0,5.0,26.0,0.07,0,45.0,2,10.0,12.0,0.87,0.77,0.95,2.0,2.0,1,1,111492,,,,,,26.0,,0.0,2.0,10.0,12.0,,0.84,1.79,3.0,3.0,20.5,,,,,,0.0,0,0,0,0,1,2.59,,,0,0.0,,0,0,PA STORE
6,445,1,0,0,0,0,0,0,1,0,0,50.0,35.0,3.0,5.0,26.0,0.1,0,0.0,2,6.0,18.0,1.04,0.88,0.94,3.0,3.0,1,1,110792,,15.0,18.0,5.0,4.75,26.0,0.15,0.0,2.0,6.0,18.0,1.04,0.86,0.94,3.0,3.0,70.5,29.0,-41.5,-0.8341708542713567,-0.25,-0.05,0.0,0,1,0,0,0,2.86,2.84,-0.020000000000000018,0,0.7092198581560284,0.5172413793103449,0,0,PA STORE
7,451,1,0,0,0,0,0,0,1,0,0,10.0,17.0,5.0,5.0,52.0,0.25,0,0.0,2,0.0,24.0,1.05,0.84,0.96,6.0,4.0,1,1,111792,2.0,26.0,9.0,6.0,5.0,26.0,0.2,0.0,2.0,0.0,24.0,1.11,0.84,0.94,6.0,3.0,23.5,36.5,13.0,0.43333333333333335,0.0,0.0,0.0,0,1,0,0,0,2.85,2.89,0.040000000000000036,0,0.425531914893617,0.7123287671232876,0,0,PA STORE
8,455,2,1,0,0,0,0,0,1,0,0,2.0,8.0,5.0,5.25,13.0,0.25,0,0.0,1,11.0,10.0,0.73,0.73,2.32,2.0,2.0,1,1,111292,,3.0,12.0,2.0,5.0,13.0,0.25,0.0,2.0,11.0,11.0,0.94,0.84,2.32,4.0,3.0,11.0,11.0,0.0,0.0,-0.25,-0.047619047619047616,0.0,0,0,1,0,0,3.78,4.1,0.31999999999999984,0,0.18181818181818182,0.2727272727272727,0,0,PA STORE
9,458,2,1,0,0,0,0,1,0,0,2,2.0,10.0,2.0,5.0,19.0,0.15,0,0.0,1,11.0,10.0,0.94,0.73,2.32,4.0,4.0,1,1,111792,1.0,2.0,9.0,2.0,5.0,13.0,0.25,0.0,1.0,11.0,10.5,0.9,0.73,2.32,4.0,3.0,9.0,8.5,-0.5,-0.05714285714285714,0.0,0.0,0.0,0,0,1,0,0,3.9899999999999998,3.9499999999999997,-0.040000000000000036,0,0.2222222222222222,0.23529411764705882,0,0,PA STORE
10,462,3,1,0,0,0,0,0,1,0,0,2.5,20.0,3.0,5.0,13.0,0.37,1,5.0,2,9.0,12.5,1.05,1.01,1.11,4.0,4.0,2,1,122292,1.0,1.0,25.0,4.0,4.75,13.0,0.2,0.0,2.0,9.0,12.0,1.01,1.01,0.89,6.0,3.0,15.5,17.5,2.0,0.12121212121212122,-0.25,-0.05,0.0,0,0,0,1,0,3.17,2.91,-0.2599999999999998,0,0.16129032258064516,0.05714285714285714,0,0,PA STORE
11,468,1,0,0,0,0,0,0,1,0,0,40.0,30.0,3.0,5.0,13.0,0.17,0,0.0,2,6.0,18.0,0.95,0.94,0.95,4.0,3.0,1,1,110792,,9.0,32.0,4.0,5.0,26.0,0.13,1.0,2.0,6.0,18.0,0.97,0.84,0.86,4.0,3.0,58.0,29.0,-29.0,-0.6666666666666666,0.0,0.0,0.0,0,1,0,0,0,2.84,2.67,-0.16999999999999993,0,0.6896551724137931,0.3103448275862069,0,0,PA STORE
12,469,1,0,0,0,0,0,0,1,0,0,8.0,27.0,5.0,5.0,39.0,0.25,0,80.0,2,6.0,18.0,0.92,0.72,0.96,3.0,2.0,1,1,111692,1.0,7.0,39.0,4.0,4.5,41.0,0.23,0.0,2.0,6.0,18.0,0.92,0.81,0.87,3.0,3.0,26.5,30.5,4.0,0.14035087719298245,-0.5,-0.1,0.0,0,1,0,0,0,2.6,2.6,0.0,0,0.3018867924528302,0.22950819672131148,0,0,PA STORE
13,470,1,0,0,0,0,0,0,1,0,0,10.5,30.0,3.0,5.5,,0.3,0,0.0,2,6.0,18.0,0.97,0.84,0.94,3.0,3.0,1,1,111792,2.0,18.0,10.0,3.0,4.75,13.0,0.15,1.0,2.0,6.0,18.0,1.03,0.84,0.94,3.0,2.0,28.5,26.0,-2.5,-0.09174311926605505,-0.75,-0.13636363636363635,0.0,0,1,0,0,0,2.75,2.81,0.06000000000000005,0,0.3684210526315789,0.6923076923076923,0,0,PA STORE
14,474,1,0,0,0,0,0,0,1,0,2,6.0,9.0,3.0,5.0,26.0,0.37,0,0.0,2,9.0,12.5,1.13,0.98,1.01,3.0,1.0,2,1,122292,1.0,5.0,20.0,3.0,4.5,,0.0,0.0,2.0,8.5,13.0,1.09,0.94,0.94,3.0,2.0,13.5,18.0,4.5,0.2857142857142857,-0.5,-0.1,0.0,0,1,0,0,0,3.12,2.97,-0.1499999999999999,0,0.4444444444444444,0.2777777777777778,0,0,PA STORE
15,481,2,1,0,0,0,0,0,1,0,2,5.0,17.5,3.0,5.25,26.0,0.25,1,0.0,3,11.0,10.0,0.95,0.74,2.53,5.0,4.0,1,1,111792,2.0,15.0,4.0,3.0,5.0,26.0,0.25,1.0,2.0,11.0,11.0,0.74,0.73,2.53,3.0,3.0,16.75,20.0,3.25,0.17687074829931973,-0.25,-0.047619047619047616,0.0,0,0,1,0,0,4.22,4.0,-0.21999999999999975,0,0.29850746268656714,0.75,0,0,PA STORE
16,483,2,1,0,0,0,0,0,1,0,0,1.0,15.0,1.0,5.0,13.0,0.07,1,0.0,2,11.0,10.0,0.94,0.73,2.32,4.0,3.0,1,1,111292,,4.0,13.0,3.0,4.75,13.0,0.18,0.0,1.0,11.0,11.0,0.95,0.74,2.33,4.0,3.0,9.5,13.5,4.0,0.34782608695652173,-0.25,-0.05,0.0,0,0,1,0,0,3.9899999999999998,4.02,0.029999999999999805,0,0.10526315789473684,0.2962962962962963,0,0,PA STORE
17,487,3,1,0,0,0,0,0,1,0,0,10.0,6.0,2.0,5.0,13.0,0.17,1,0.0,2,10.0,11.5,1.11,0.91,0.95,6.0,3.0,1,1,111192,,6.0,20.0,3.0,4.75,26.0,0.1,0.0,2.0,10.5,11.0,1.05,1.01,0.94,6.0,1.0,15.0,19.0,4.0,0.23529411764705882,-0.25,-0.05,0.0,0,0,0,1,0,2.9699999999999998,3.0,0.03000000000000025,0,0.6666666666666666,0.3157894736842105,0,0,PA STORE
18,488,3,0,0,0,0,0,0,1,0,1,20.0,13.0,3.0,5.0,13.0,0.25,1,0.0,2,6.0,16.0,1.05,0.79,1.01,5.0,5.0,1,1,111192,,5.0,15.0,3.0,4.75,26.0,0.13,0.0,2.0,7.0,15.0,1.01,1.01,0.94,5.0,3.0,29.5,15.5,-14.0,-0.6222222222222222,-0.25,-0.05,0.0,0,0,0,1,0,2.85,2.96,0.10999999999999988,0,0.6779661016949152,0.3225806451612903,0,0,PA STORE
